Sending 300 requests to http://localhost:8000 (model=llama3)...
  [1/300] HTTP 500: Internal Server Error
  [2/300] HTTP 500: Internal Server Error
  [3/300] HTTP 500: Internal Server Error
  [4/300] HTTP 500: Internal Server Error
  [5/300] HTTP 500: Internal Server Error
  [6/300] HTTP 500: Internal Server Error
  [7/300] HTTP 500: Internal Server Error
  [8/300] HTTP 500: Internal Server Error
  [9/300] HTTP 500: Internal Server Error
  [10/300] HTTP 500: Internal Server Error
  [11/300] HTTP 500: Internal Server Error
  [12/300] HTTP 500: Internal Server Error
  [13/300] HTTP 500: Internal Server Error
  [14/300] HTTP 500: Internal Server Error
  [15/300] HTTP 500: Internal Server Error
  [16/300] HTTP 500: Internal Server Error
  [17/300] HTTP 500: Internal Server Error
  [18/300] HTTP 500: Internal Server Error
  [19/300] HTTP 500: Internal Server Error
  [20/300] HTTP 500: Internal Server Error
  [21/300] HTTP 500: Internal Server Error
  [22/300] HTTP 500: Internal Server Error
  [23/300] HTTP 500: Internal Server Error
  [24/300] HTTP 500: Internal Server Error
  [25/300] HTTP 500: Internal Server Error
  [26/300] HTTP 500: Internal Server Error
  [27/300] HTTP 500: Internal Server Error
  [28/300] HTTP 500: Internal Server Error
  [29/300] HTTP 500: Internal Server Error
  [30/300] HTTP 500: Internal Server Error
  [31/300] HTTP 500: Internal Server Error
  [32/300] HTTP 500: Internal Server Error
  [33/300] HTTP 500: Internal Server Error
  [34/300] HTTP 500: Internal Server Error
  [35/300] HTTP 500: Internal Server Error
  [36/300] HTTP 500: Internal Server Error
  [37/300] HTTP 500: Internal Server Error
  [38/300] HTTP 500: Internal Server Error
  [39/300] HTTP 500: Internal Server Error
  [40/300] HTTP 500: Internal Server Error
  [41/300] HTTP 500: Internal Server Error
  [42/300] HTTP 500: Internal Server Error
  [43/300] HTTP 500: Internal Server Error
  [44/300] HTTP 500: Internal Server Error
  [45/300] HTTP 500: Internal Server Error
  [46/300] HTTP 500: Internal Server Error
  [47/300] HTTP 500: Internal Server Error
  [48/300] HTTP 500: Internal Server Error
  [49/300] HTTP 500: Internal Server Error
  [50/300] HTTP 500: Internal Server Error
  [51/300] HTTP 500: Internal Server Error
  [52/300] HTTP 500: Internal Server Error
  [53/300] HTTP 500: Internal Server Error
  [54/300] HTTP 500: Internal Server Error
  [55/300] HTTP 500: Internal Server Error
  [56/300] HTTP 500: Internal Server Error
  [57/300] HTTP 500: Internal Server Error
  [58/300] HTTP 500: Internal Server Error
  [59/300] HTTP 500: Internal Server Error
  [60/300] HTTP 500: Internal Server Error
  [61/300] HTTP 500: Internal Server Error
  [62/300] HTTP 500: Internal Server Error
  [63/300] HTTP 500: Internal Server Error
  [64/300] HTTP 500: Internal Server Error
  [65/300] HTTP 500: Internal Server Error
  [66/300] HTTP 500: Internal Server Error
  [67/300] HTTP 500: Internal Server Error
  [68/300] HTTP 500: Internal Server Error
  [69/300] HTTP 500: Internal Server Error
  [70/300] HTTP 500: Internal Server Error
  [71/300] HTTP 500: Internal Server Error
  [72/300] HTTP 500: Internal Server Error
  [73/300] HTTP 500: Internal Server Error
  [74/300] HTTP 500: Internal Server Error
  [75/300] HTTP 500: Internal Server Error
  [76/300] HTTP 500: Internal Server Error
  [77/300] HTTP 500: Internal Server Error
  [78/300] HTTP 500: Internal Server Error
  [79/300] HTTP 500: Internal Server Error
  [80/300] HTTP 500: Internal Server Error
  [81/300] HTTP 500: Internal Server Error
  [82/300] HTTP 500: Internal Server Error
  [83/300] HTTP 500: Internal Server Error
  [84/300] HTTP 500: Internal Server Error
  [85/300] HTTP 500: Internal Server Error
  [86/300] HTTP 500: Internal Server Error
  [87/300] HTTP 500: Internal Server Error
  [88/300] HTTP 500: Internal Server Error
  [89/300] HTTP 500: Internal Server Error
  [90/300] HTTP 500: Internal Server Error
  [91/300] HTTP 500: Internal Server Error
  [92/300] HTTP 500: Internal Server Error
  [93/300] HTTP 500: Internal Server Error
  [94/300] HTTP 500: Internal Server Error
  [95/300] HTTP 500: Internal Server Error
  [96/300] HTTP 500: Internal Server Error
